"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 29 18:58:20 PKT 2024","Mon Jan 29 19:00:31 PKT 2024","131304","Default Suite","SpotifyAppiumAutomation","spotifyDemoTest.SpotifyRegistrationLoginTest","spotifyDemoTest.SpotifyRegistrationLoginTest","verifyUserRegistration","verifyUserRegistration","Registration of User with 'Start Listening Now' option"
"passed","Mon Jan 29 19:00:37 PKT 2024","Mon Jan 29 19:00:59 PKT 2024","22522","Default Suite","SpotifyAppiumAutomation","spotifyDemoTest.SpotifyRegistrationLoginTest","spotifyDemoTest.SpotifyRegistrationLoginTest","verifyUserLoginAndItsInformation","Login user with valid and Authorize Email Credentials.","Login user with valid and Authorize Email Credentials, then verify certain Informationand log User out."
